yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2022,kontenjan_2023,kontenjan_2024,taban_2022,taban_2023,taban_2024,tavan_2022,tavan_2023,tavan_2024,tavan_bs_2022,tavan_bs_2023,tavan_bs_2024,tbs_2022,tbs_2023,tbs_2024,yerlesen_2022,yerlesen_2023,yerlesen_2024,has_2022,has_2023,has_2024,years_with_data
201490206,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,söz,,,20.0,,,"336,98606",,,"362,08680",,,103.398,,,189.181,,,20.0,False,False,True,1
201490213,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,söz,,,14.0,,,"373,90646",,,"406,33553",,,25.079,,,74.837,,,14.0,False,False,True,1
201490220,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Yönetim Bilişim Sistemleri,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,,,6.0,,,"372,71389",,,"387,52334",,,50.238,,,74.352,,,6.0,False,False,True,1
201490227,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Yönetim Bilişim Sistemleri,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,,,25.0,,,"269,32593",,,"323,49325",,,219.319,,,608.860,,,25.0,False,False,True,1
201490234,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Havacılık Yönetimi,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,,,7.0,,,"330,34161",,,"344,64812",,,141.538,,,190.474,,,7.0,False,False,True,1
201490241,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Havacılık Yönetimi,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,,,34.0,,,"226,57885",,,"301,66466",,,338.58,,,1.153.172,,,34.0,False,False,True,1
201490248,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,,,40.0,,,"227,38596",,,"339,55473",,,157.38,,,1.141.657,,,40.0,False,False,True,1
201490255,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Yapay Zeka ve Veri Mühendisliği,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,,,8.0,,,"435,02953",,,"463,36947",,,29.403,,,50.076,,,7.0,False,False,True,1
201490269,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Yapay Zeka ve Veri Mühendisliği,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,,,25.0,,,"291,24095",,,"405,63526",,,76.818,,,295.714,,,18.0,False,False,True,1
201490276,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Grafik Tasarımı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,,,10.0,,,"338,35463",,,"355,37961",,,112.039,,,161.329,,,9.0,False,False,True,1
201490290,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Grafik Tasarımı,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,,,30.0,,,"221,26843",,,"333,92199",,,176.926,,,1.228.814,,,30.0,False,False,True,1
201490297,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",İç Mimarlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,,,8.0,,,"328,22622",,,"349,59435",,,148.802,,,189.547,,,8.0,False,False,True,1
201490311,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",İç Mimarlık,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,,,34.0,,,"208,78892",,,"288,22599",,,307.409,,,1.015.043,,,34.0,False,False,True,1
201490318,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Kültür Varlıklarını Koruma ve Onarım,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,,,16.0,,,"284,19119",,,"306,11703",,,310.938,,,469.469,,,14.0,False,False,True,1
201490325,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Kültür Varlıklarını Koruma ve Onarım,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,,,15.0,,,"193,01365",,,"276,12047",,,541.946,,,1.583.715,,,13.0,False,False,True,1
201490332,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Mimarlık,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,,,10.0,,,"362,23143",,,"390,24625",,,93.202,,,128.980,,,9.0,False,False,True,1
201490339,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Mimarlık,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,,,21.0,,,"321,70084",,,"346,74455",,,153.576,,,204.431,,,4.0,False,False,True,1
