lise_adi,sehir,lise_id
BATMAN MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,73
BESNİ İBN-İ SİNA MESLEKİ VE TEKNİK ANADOLU LİSESİ (ADIYAMAN - BESNİ),ADIYAMAN,74
BİSMİL ATATÜRK MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - BİSMİL),DİYARBAKIR,75
BİSMİL FATİH ANADOLU LİSESİ (DİYARBAKIR - BİSMİL),DİYARBAKIR,76
BORSA İSTANBUL H. REŞAT BALYEN ANADOLU LİSESİ (DİYARBAKIR - SİLVAN),DİYARBAKIR,77
DARGEÇİT ANADOLU LİSESİ (MARDİN - DARGEÇİT),MARDİN,78
ERENTÜRK ÖZ ŞEKER ANADOLU LİSESİ (MUŞ - MERKEZ),MUŞ,79
GAP KARAÇALI ANADOLU LİSESİ (DİYARBAKIR - SUR),DİYARBAKIR,80
GAZİ MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,81
GÜLNAR MESLEKİ VE TEKNİK ANADOLU LİSESİ (MERSİN - GÜLNAR),MERSİN,82
GÜLYAZI ÇOK PROGRAMLI ANADOLU LİSESİ (ŞIRNAK - ULUDERE),ŞIRNAK,83
GÜROYMAK ANADOLU LİSESİ (BİTLİS - GÜROYMAK),BİTLİS,84
KOŞUYOLU MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - BAĞLAR),DİYARBAKIR,85
LİCE ANADOLU LİSESİ (DİYARBAKIR - LİCE),DİYARBAKIR,86
MİDYAT KIZ ANADOLU İMAM HATİP LİSESİ (MARDİN - MİDYAT),MARDİN,87
ÖZEL BASUT MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,88
ÖZEL BATMAN BAHÇEŞEHİR ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,89
ÖZEL BATMAN FİNAL ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,90
ÖZEL BATMAN SİMYA TEMEL LİSESİ (BATMAN - MERKEZ),BATMAN,91
ÖZEL İSTANBUL LİDER KOLEJİ ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,92
PARK ELEKTRİK ÇOK PROGRAMLI ANADOLU LİSESİ (ŞIRNAK - SİLOPİ),ŞIRNAK,93
POLATELİ ÇOK PROGRAMLI ANADOLU LİSESİ (KİLİS - POLATELİ),KİLİS,94
SEYHAN ÇEP MESLEKİ VE TEKNİK ANADOLU LİSESİ (ADANA - SEYHAN),ADANA,95
SİLİVRİ KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - SİLİVRİ),İSTANBUL,96
SURUÇ GAP ANADOLU LİSESİ (ŞANLIURFA - SURUÇ),ŞANLIURFA,97
ŞEHMUS SULTAN TATLICI MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,98
TÜRK TELEKOM ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,99
GÖLCÜK KIZ ANADOLU İMAM HATİP LİSESİ (KOCAELİ - GÖLCÜK),KOCAELİ,100
HALİL HAMİDİ ANADOLU İMAM HATİP LİSESİ (BATMAN - MERKEZ),BATMAN,101
İBN-İ SİNA MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,102
İLUH ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,103
MALABADİ ANADOLU LİSESİ (DİYARBAKIR - SİLVAN),DİYARBAKIR,104
NUSAYBİN KIZ ANADOLU İMAM HATİP LİSESİ (MARDİN - NUSAYBİN),MARDİN,105
ÖZEL BATMAN SİMYA ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,106
SABANCI 50. YIL ANADOLU LİSESİ (İSTANBUL - AVCILAR),İSTANBUL,107
ŞEHİT ER SERHAT ŞANLI MESLEKİ VE TEKNİK ANADOLU LİSESİ (ARDAHAN - MERKEZ),ARDAHAN,108
ŞEHİT SÜLEYMAN SORKUT ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,109
YUNUS EMRE ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,110
ZEYTİNBURNU İDMİB MESLEKİ VE TEKNİK ANADOLU LİSESİ (İSTANBUL - ZEYTİNBURNU),İSTANBUL,111
AKDAĞMADENİ KIZ ANADOLU İMAM HATİP LİSESİ (YOZGAT - AKDAĞMADENİ),YOZGAT,112
BEŞİRİ MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - BEŞİRİ),BATMAN,113
CİZRE ANADOLU İMAM HATİP LİSESİ (ŞIRNAK - CİZRE),ŞIRNAK,114
DÜNDAR UÇAR MESLEKİ VE TEKNİK ANADOLU LİSESİ (İSTANBUL - BAĞCILAR),İSTANBUL,115
75. YIL CUMHURİYET MESLEKİ VE TEKNİK ANADOLU LİSESİ (MARDİN - ARTUKLU),MARDİN,116
ABDÜLHAKİM AYTEN ANADOLU İMAM HATİP LİSESİ (SİİRT - MERKEZ),SİİRT,117
ADANA KIZ LİSESİ (ADANA - ÇUKUROVA),ADANA,118
ALİ EMİRİ ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,119
BATMAN ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,120
CİZRE KIZ ANADOLU İMAM HATİP LİSESİ (ŞIRNAK - CİZRE),ŞIRNAK,121
FARABİ ANADOLU LİSESİ (ADANA - YÜREĞİR),ADANA,122
FATİH ANADOLU LİSESİ (ADIYAMAN - MERKEZ),ADIYAMAN,123
GÜLER ŞEVKİ ÖZBEK ANADOLU LİSESİ (DİYARBAKIR - BAĞLAR),DİYARBAKIR,124
İBN-İ SİNA MESLEKİ VE TEKNİK ANADOLU LİSESİ (MARDİN - KIZILTEPE),MARDİN,125
MELİKGAZİ MUSTAFA EMİNOĞLU ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,126
NUSAYBİN GAZİ ANADOLU LİSESİ (MARDİN - NUSAYBİN),MARDİN,127
NUSAYBİN SÜLEYMAN BÖLÜNMEZ ANADOLU LİSESİ (MARDİN - NUSAYBİN),MARDİN,128
OZAN NEŞET ERTAŞ ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,129
ÖZEL BİTLİS KÜLTÜR ANADOLU LİSESİ (BİTLİS - MERKEZ),BİTLİS,130
ÖZEL DİYARBAKIR SİMYA ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,131
ÖZEL MERSİN CEBİR KOLEJİ ANADOLU LİSESİ (MERSİN - AKDENİZ),MERSİN,132
ÖZEL YAKUT SEVİYEM TEMEL LİSESİ (BATMAN - MERKEZ),BATMAN,133
SİLVAN SOSYAL BİLİMLER LİSESİ (DİYARBAKIR - SİLVAN),DİYARBAKIR,134
TOROSLAR ANADOLU LİSESİ (MERSİN - TOROSLAR),MERSİN,135
TURGUT ÖZAL KIZ ANADOLU İMAM HATİP LİSESİ (BATMAN - MERKEZ),BATMAN,136
TÜRKİYE PETROLLERİ KAHTA KIZ ANADOLU İMAM HATİP LİSESİ (ADIYAMAN - KAHTA),ADIYAMAN,137
ALPARSLAN ANADOLU LİSESİ (DİYARBAKIR - SUR),DİYARBAKIR,138
BORSA İSTANBUL ANADOLU LİSESİ (MARDİN - ARTUKLU),MARDİN,139
CEYLANPINAR FEN LİSESİ (ŞANLIURFA - CEYLANPINAR),ŞANLIURFA,140
GAFFAR OKKAN ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,141
KIZILTEPE MEZOPOTAMYA ANADOLU LİSESİ (MARDİN - KIZILTEPE),MARDİN,142
MAZIDAĞI ANADOLU LİSESİ (MARDİN - MAZIDAĞI),MARDİN,143
MEHMET ADİL ÇULCUOĞLU ANADOLU LİSESİ (ŞANLIURFA - BİRECİK),ŞANLIURFA,144
MEVLANA ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,145
NECİP ALİ NİZAMETTİNOĞLU ANADOLU LİSESİ (MARDİN - NUSAYBİN),MARDİN,146
ÖZEL BATMAN KÜLTÜR AKADEMİ ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,147
ÖZEL KIZILTEPE ÇÖZÜM KOLEJİ ANADOLU LİSESİ (MARDİN - KIZILTEPE),MARDİN,148
SELAHADDİNİ EYYUBİ ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,149
SURUÇ ANADOLU LİSESİ (ŞANLIURFA - SURUÇ),ŞANLIURFA,150
ŞEHİT MEHMET BORA TAYFUR ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,151
YENİ DİYARBAKIR ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,152
ZİYA GOKALP ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,153
ZİYA GÖKALP ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,154
FATİH ANADOLU LİSESİ (DİYARBAKIR - BAĞLAR),DİYARBAKIR,155
FETHİ ŞİMŞEK KIZ ANADOLU LİSESİ (ŞANLIURFA - SURUÇ),ŞANLIURFA,156
HASANKEYF BEŞİR TUTUŞ ÇOK PROGRAMLI ANADOLU LİSESİ (BATMAN - HASANKEYF),BATMAN,157
İNEBEY ANADOLU LİSESİ (BALIKESİR - KARESİ),BALIKESİR,158
MARMARA ANADOLU LİSESİ (SİİRT - MERKEZ),SİİRT,159
MECİDİYEKÖY ANADOLU LİSESİ (İSTANBUL - ŞİŞLİ),İSTANBUL,160
MEHMET ŞİMŞEK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,161
MUSTAFA KEMAL ANADOLU LİSESİ (ANKARA - YENİMAHALLE),ANKARA,162
NAMIK KEMAL MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - BAĞLAR),DİYARBAKIR,163
ŞEHİT ÖZGÜR CAN İNCE MESLEKİ VE TEKNİK ANADOLU LİSESİ (ANKARA - SİNCAN),ANKARA,164
ŞEHİT ÖZKAN ÖZENDİ ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - SİLVAN),DİYARBAKIR,165
ŞEMSİ TÜRKMEN ANADOLU LİSESİ (AĞRI - MERKEZ),AĞRI,166
ÜLKÜ-MUHARREM ERTAŞ ANADOLU LİSESİ (BALIKESİR - EDREMİT),BALIKESİR,167
ADNAN MENDERES ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,168
ALPASLAN ANADOLU LİSESİ (DİYARBAKIR - EĞİL),DİYARBAKIR,169
CİZRE MERKEZ ANADOLU LİSESİ (ŞIRNAK - CİZRE),ŞIRNAK,170
ÇINAR ANADOLU LİSESİ (DİYARBAKIR - ÇINAR),DİYARBAKIR,171
DİYARBAKIR ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,172
EMİNE GÖNCÜ ANADOLU LİSESİ (ŞANLIURFA - KARAKÖPRÜ),ŞANLIURFA,173
15 TEMMUZ ANADOLU LİSESİ (BATMAN - KOZLUK),BATMAN,174
BATMAN KIZ ANADOLU İMAM HATİP LİSESİ (BATMAN - MERKEZ),BATMAN,175
BATMAN SOSYAL BİLİMLER LİSESİ (BATMAN - MERKEZ),BATMAN,176
ÇERMİK KIZ ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - ÇERMİK),DİYARBAKIR,177
İBN-İ SİNA MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,178
KANUNİ MESLEKİ VE TEKNİK ANADOLU LİSESİ (ANKARA - KEÇİÖREN),ANKARA,179
KARAKOYUNLU ANADOLU LİSESİ (VAN - ERCİŞ),VAN,180
KORGENERAL HULUSİ SAYIN MESLEKİ VE TEKNİK ANADOLU LİSESİ (ELAZIĞ - MERKEZ),ELAZIĞ,181
KURTALAN EKSPRESİ ANADOLU LİSESİ (SİİRT - KURTALAN),SİİRT,182
MEHMET AKİF ERSOY ANADOLU LİSESİ (VAN - İPEKYOLU),VAN,183
MEHMET ŞÜKRÜ BALCI ANADOLU LİSESİ (AĞRI - TUTAK),AĞRI,184
MEZOPOTAMYA MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,185
ÖĞRETMEN HÜSEYİN ARTUNÇ MESLEKİ VE TEKNİK ANADOLU LİSESİ (BİNGÖL - SOLHAN),BİNGÖL,186
ÖZEL MİDYAT FİNAL AKADEMİ ANADOLU LİSESİ (MARDİN - MİDYAT),MARDİN,187
SİLVAN ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - SİLVAN),DİYARBAKIR,188
ŞEHİT AHMET EYCE MESLEKİ VE TEKNİK ANADOLU LİSESİ (SİVAS - MERKEZ),SİVAS,189
YAVUZ SULTAN SELİM MESLEKİ VE TEKNİK ANADOLU LİSESİ (İSTANBUL - BAĞCILAR),İSTANBUL,190
ABDULHAMİT HAN KIZ ANADOLU İMAM HATİP LİSESİ (GAZİANTEP - NİZİP),GAZİANTEP,191
ATATÜRK MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - BAĞLAR),DİYARBAKIR,192
BALÇOVA AHMET HAKKI BALCIOĞLU MESLEKİ VE TEKNİK ANADOLU LİSESİ (İZMİR - BALÇOVA),İZMİR,193
EĞİL ŞEHİT MEHMET UZAN MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - EĞİL),DİYARBAKIR,194
GÜNGÖREN GENÇOSMAN BORSA İSTANBUL ÇOK PROGRAMLI ANADOLU LİSESİ (İSTANBUL - GÜNGÖREN),İSTANBUL,195
HALİDE EDİP ADIVAR MESLEKİ VE TEKNİK ANADOLU LİSESİ (VAN - TUŞBA),VAN,196
HALİL RIFAT PAŞA ANADOLU LİSESİ (SİVAS - MERKEZ),SİVAS,197
MEHMET AKİF ERSOY ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,198
MUAZZEZ SÜMER MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,199
NUSAYBİN MEHMET EMİN KUŞ ANADOLU İMAM HATİP LİSESİ (MARDİN - NUSAYBİN),MARDİN,200
ÖZEL BATMAN BOĞAZİÇİ KOLEJİ MESLEKİ VE TEKNİK ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,201
ÖZEL S.EYYUBİ LİSESİ,,202
ÖZEL YILDIRIM HAN ANADOLU LİSESİ (MERSİN - YENİŞEHİR),MERSİN,203
ŞEHİT CENGİZ SARIBAŞ ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),İSTANBUL,204
ŞEHİT SONER FAZLIOĞLU ÇOK PROGRAMLI ANADOLU LİSESİ (BATMAN - KOZLUK),BATMAN,205
TALAYTEPE ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,206
TAŞUCU PROF. DR. DURMUŞ TEZCAN MESLEKİ VE TEKNİK ANADOLU LİSESİ (MERSİN - SİLİFKE),MERSİN,207
FATIMA ZEHRA MESLEKİ VE TEKNİK ANADOLU LİSESİ (SİİRT - KURTALAN),SİİRT,208
HAZRO MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - HAZRO),DİYARBAKIR,209
KAĞITHANE MESLEKİ VE TEKNİK ANADOLU LİSESİ (İSTANBUL - KAĞITHANE),İSTANBUL,210
NENE HATUN MESLEKİ VE TEKNİK ANADOLU LİSESİ (VAN - İPEKYOLU),VAN,211
VALİ GÖKHAN AYDINER MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,212
YUNUS EMRE MESLEKİ VE TEKNİK ANADOLU LİSESİ (İSTANBUL - BAĞCILAR),İSTANBUL,213
AKSA MESLEKİ VE TEKNİK ANADOLU LİSESİ (YALOVA - ÇİFTLİKKÖY),YALOVA,214
AZİZ SANCAR ANADOLU LİSESİ (MARDİN - ARTUKLU),MARDİN,215
75. YIL MESLEKİ VE TEKNİK ANADOLU LİSESİ (SİİRT - MERKEZ),SİİRT,216
ATATÜRK ANADOLU LİSESİ (SAKARYA - ADAPAZARI),SAKARYA,217
ÇERMİK ANADOLU LİSESİ (DİYARBAKIR - ÇERMİK),DİYARBAKIR,218
DİYARBAKIR MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),DİYARBAKIR,219
EREN ŞAHİN ERONAT MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,220
GERCÜŞ ANADOLU LİSESİ (BATMAN - GERCÜŞ),BATMAN,221
HANİ ÇOK PROGRAMLI ANADOLU LİSESİ (DİYARBAKIR - HANİ),DİYARBAKIR,222
MİDYAT NENE HATUN MESLEKİ VE TEKNİK ANADOLU LİSESİ (MARDİN - MİDYAT),MARDİN,223
ÖZEL DİCLEKENT TEMEL LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,224
ÖZEL DİYARBAKIR KOLEJİ ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,225
ÖZEL NUSAYBİN FİNAL AKADEMİ ANADOLU LİSESİ (MARDİN - NUSAYBİN),MARDİN,226
ŞEHİT UFUK BAYSAN ANADOLU LİSESİ (KONYA - SELÇUKLU),KONYA,227
TOKİ PROF. DR. FUAT SEZGİN ANADOLU LİSESİ (BİTLİS - TATVAN),BİTLİS,228
VİRANŞEHİR KIZ ANADOLU LİSESİ (ŞANLIURFA - VİRANŞEHİR),ŞANLIURFA,229
BALIKESİR MUHARREM HASBİ ANADOLU LİSESİ (BALIKESİR - KARESİ),BALIKESİR,230
BATMAN KIZ ANADOLU LİSESİ (BATMAN - MERKEZ),BATMAN,231
BAYRAMPAŞA TUNA MESLEKİ VE TEKNİK ANADOLU LİSESİ (İSTANBUL - BAYRAMPAŞA),İSTANBUL,232
BEŞİRİ ANADOLU İMAM HATİP LİSESİ (BATMAN - BEŞİRİ),BATMAN,233
BİSMİL MESLEKİ VE TEKNİK ANADOLU LİSESİ (DİYARBAKIR - BİSMİL),DİYARBAKIR,234
ÇÜNGÜŞ ÇOK PROGRAMLI ANADOLU LİSESİ (DİYARBAKIR - ÇÜNGÜŞ),DİYARBAKIR,235
DÖRTYOL ANADOLU İMAM HATİP LİSESİ (HATAY - DÖRTYOL),HATAY,236
ERGANİ FEN LİSESİ (DİYARBAKIR - ERGANİ),DİYARBAKIR,237
FATMA ALİYE FEN LİSESİ (BATMAN - MERKEZ),BATMAN,238
KAYAPINAR KIZ ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - KAYAPINAR),DİYARBAKIR,239
KÜÇÜKÇEKMECE ATATÜRK MESLEKİ VE TEKNİK ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),İSTANBUL,240
MEHMETÇİK ANADOLU LİSESİ (ANKARA - ETİMESGUT),ANKARA,241
MUŞ BORSA İSTANBUL ANADOLU LİSESİ (MUŞ - MERKEZ),MUŞ,242
NECATİ DÖLEN MESLEKİ VE TEKNİK ANADOLU LİSESİ (ANTALYA - MURATPAŞA),ANTALYA,243
ÖZEL AMAÇ ANADOLU LİSESİ (ŞANLIURFA - HALİLİYE),ŞANLIURFA,244
ÖZEL BATMAN SINAV TEMEL LİSESİ (BATMAN - MERKEZ),BATMAN,245
SİİRT LİSESİ (SİİRT - MERKEZ),SİİRT,246
ŞEHİT ADEM ÇİFTÇİ ÇOK PROGRAMLI ANADOLU LİSESİ (UŞAK - EŞME),UŞAK,247
ŞEHİT ALİ İHSAN KALMAZ ANADOLU LİSESİ (ISPARTA - MERKEZ),ISPARTA,248
VAİZOĞULLARI MESLEKİ VE TEKNİK ANADOLU LİSESİ (MALATYA - DOĞANŞEHİR),MALATYA,249
