yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
100410836,2606.0,2192.0,2662.0,754.0,1168.0,698.0,19.0,16.0,19.0
100410872,,,,,,,,,
100410924,761.0,592.0,664.0,199.0,392.0,320.0,19.0,14.0,16.0
100410933,704.0,754.0,815.0,544.0,494.0,409.0,14.0,15.0,16.0
100410978,968.0,899.0,928.0,520.0,589.0,800.0,16.0,15.0,13.0
100410987,935.0,763.0,874.0,313.0,485.0,494.0,18.0,15.0,15.0
100490191,886.0,922.0,828.0,314.0,278.0,372.0,18.0,18.0,17.0
100490197,1194.0,1156.0,925.0,486.0,524.0,515.0,17.0,17.0,15.0
100490202,702.0,684.0,746.0,282.0,300.0,502.0,17.0,17.0,14.0
100490203,472.0,460.0,708.0,152.0,164.0,276.0,18.0,18.0,17.0
100490204,1150.0,1070.0,1062.0,578.0,658.0,786.0,16.0,15.0,14.0
100490212,17.0,35.0,9.0,7.0,13.0,15.0,17.0,18.0,9.0
100490213,4.0,31.0,37.0,20.0,17.0,11.0,4.0,16.0,19.0
100490215,1018.0,889.0,1099.0,230.0,359.0,389.0,20.0,17.0,18.0
100490216,835.0,762.0,871.0,149.0,222.0,377.0,20.0,19.0,17.0
100490218,558.0,553.0,452.0,186.0,191.0,292.0,18.0,18.0,15.0
100490219,976.0,902.0,717.0,512.0,562.0,483.0,16.0,15.0,14.0
100490220,768.0,675.0,472.0,216.0,309.0,272.0,19.0,16.0,15.0
100490222,1214.0,1392.0,1392.0,346.0,456.0,528.0,19.0,18.0,17.0
100490242,834.0,718.0,957.0,390.0,482.0,483.0,16.0,14.0,16.0
100490249,799.0,593.0,632.0,161.0,367.0,328.0,20.0,15.0,16.0
100490256,696.0,555.0,407.0,264.0,405.0,193.0,17.0,14.0,16.0
100490277,,,453.0,,,267.0,,,15.0
100490284,,,945.0,,,1239.0,,,10.0
100490291,,,128.0,,,112.0,,,13.0
100490298,,,59.0,,,37.0,,,15.0
100490305,,,753.0,,,207.0,,,19.0
112610315,4095.0,3873.0,3993.0,705.0,927.0,1047.0,20.0,19.0,19.0
112610333,2041.0,1842.0,2059.0,719.0,918.0,845.0,18.0,16.0,17.0
112610509,1676.0,1582.0,1648.0,484.0,650.0,704.0,19.0,17.0,17.0
