yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,yerlesen_2025,taban_2025,tbs_2025,tavan_2025,tavan_bs_2025,has_2025
201910387,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Fizyoterapi ve Rehabilitasyon,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,8,7,"335,58689",204.603,"338,84068",197.323,True
201991014,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,64,64,"269,09016",455.405,"342,55944",189.226,True
201990972,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Ebelik,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,53,53,"246,73368",626.776,"307,12076",283.729,True
201990944,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Beslenme ve Diyetetik,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,47,47,"216,25884",980.681,"294,94126",327.934,True
201990846,HALİÇ ÜNİVERSİTESİ,Mimarlık Fakültesi,Endüstriyel Tasarım,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,45,45,"231,36591",794.706,"297,50279",318.131,True
201991007,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,18,18,"240,50406",690.299,"264,32137",485.946,True
201990986,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Fizyoterapi ve Rehabilitasyon,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,31,31,"232,60779",779.844,"287,77106",358.142,True
201990769,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Dijital Oyun Tasarımı,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,4,3,Dolmadı,Dolmadı,"309,05927",277.381,True
201991028,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,45,45,"227,85511",837.352,"332,28503",212.325,True
201990965,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Ebelik,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,16,16,"225,91020",861.318,"241,74640",677.018,True
201991021,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,14,14,"214,20454",1.005.004,"224,75221",876.028,True
201990958,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Beslenme ve Diyetetik,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,41,27,Dolmadı,Dolmadı,"266,94816",468.770,True
201990776,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Dijital Oyun Tasarımı,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,31,31,"209,84259",1.054.564,"322,67049",236.964,True
201990937,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Beslenme ve Diyetetik,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,14,14,"198,66033",1.164.473,"224,70875",876.610,True
201990951,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Beslenme ve Diyetetik,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,13,1,Dolmadı,Dolmadı,"190,05837",1.208.020,True
201990874,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Bilgisayar Mühendisliği,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,8,9,"290,74719",297.711,"342,97475",160.251,True
201990881,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Bilgisayar Mühendisliği,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,67,33,Dolmadı,Dolmadı,"387,16278",115.210,True
201991560,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Dil ve Konuşma Terapisi,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,7,6,"390,62702",110.651,"399,81147",99.214,True
201991574,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Dil ve Konuşma Terapisi,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,29,29,"238,04633",717.151,"300,80372",305.818,True
201991567,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Dil ve Konuşma Terapisi,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,5,5,"227,94003",836.341,"235,71894",743.809,True
201990895,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,49,16,Dolmadı,Dolmadı,"383,82580",119.773,True
201990888,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,5,0,Dolmadı,Dolmadı,0,,True
201990902,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Endüstri Mühendisliği,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,4,1,Dolmadı,Dolmadı,"321,29563",205.379,True
201990909,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Endüstri Mühendisliği,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,60,42,Dolmadı,Dolmadı,"403,13990",95.091,True
201990839,HALİÇ ÜNİVERSİTESİ,Mimarlık Fakültesi,Endüstriyel Tasarım,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,6,6,"190,10272",1.227.509,"222,33053",906.176,True
201990979,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Fizyoterapi ve Rehabilitasyon,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,9,9,"200,32059",1.149.945,"227,83830",837.551,True
201991000,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Fizyoterapi ve Rehabilitasyon,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,37,9,Dolmadı,Dolmadı,"293,43362",334.015,True
201990480,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Makine Mühendisliği,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,32,32,"303,27645",296.977,"360,30470",155.433,True
201990916,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Makine Mühendisliği,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,3,0,Dolmadı,Dolmadı,0,,True
201910527,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Matematik,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,30,14,Dolmadı,Dolmadı,"296,51276",321.793,True
201910606,HALİÇ ÜNİVERSİTESİ,Mimarlık Fakültesi,Mimarlık,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,17,17,"320,03049",244.147,"381,44292",122.986,True
201910042,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,9,8,"350,33283",173.710,"384,72772",118.511,True
201990741,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,40,27,Dolmadı,Dolmadı,"308,86324",278.009,True
