yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,taban_2025,tavan_2025,tavan_bs_2025,tbs_2025,yerlesen_2025,has_2025
203211382,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,Uluslararası Ticaret ve Finansman,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,10,"188,07689","220,29912",1.153.492,1.436.486,3,True
203211389,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,Uluslararası Ticaret ve Finansman,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,12,"204,09869","257,46407",723.148,1.318.474,9,True
203211354,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,söz,21,"335,89255","387,04903",14.198,91.204,21,True
203211129,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,8,"430,86067","476,86796",174,1.839,8,True
203211347,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,söz,21,"292,09747","342,86204",73.277,295.269,14,True
203211279,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,İlköğretim Matematik Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,30,"310,65638","315,83801",256.178,272.195,4,True
203211277,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,İlköğretim Matematik Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,6,"353,22225","369,59314",140.259,168.142,5,True
203211326,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,İngilizce Öğretmenliği,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,dil,40,"267,51413","431,03450",10.958,84.556,40,True
203210025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,İngilizce Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,10,"431,96209","438,18012",9.103,10.693,9,True
203211319,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,İngilizce Öğretmenliği,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,dil,14,"175,13002","264,76317",86.138,137.400,7,True
203211290,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İslam İktisadı ve Finans,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,20,"193,73116","287,60179",437.455,1.401.922,7,True
203211297,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İslam İktisadı ve Finans,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,20,"186,23392","318,48398",243.395,1.445.829,16,True
203211289,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İslam İktisadı ve Finans,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,6,"327,32646","333,77553",178.280,203.860,5,True
