yop_kodu,year,il,tercih_sayisi
202210334,2025,SAKARYA,5
202210334,2025,SAMSUN,2
202210334,2025,SİNOP,10
202210334,2025,TEKİRDAĞ,1
202210334,2025,TOKAT,2
202210334,2025,TRABZON,1
202210334,2025,VAN,1
202210334,2025,YALOVA,2
202210334,2025,YOZGAT,4
202210334,2025,ZONGULDAK,2
202210333,2025,ANKARA,1
202210333,2025,ANTALYA,1
202210333,2025,ARTVİN,1
202210333,2025,AYDIN,1
202210333,2025,BALIKESİR,1
202210333,2025,BARTIN,2
202210333,2025,BOLU,2
202210333,2025,ÇANAKKALE,2
202210333,2025,DENİZLİ,1
202210333,2025,DÜZCE,2
202210333,2025,EDİRNE,3
202210333,2025,ESKİŞEHİR,1
202210333,2025,GİRESUN,1
202210333,2025,İSTANBUL,88
202210333,2025,İZMİR,3
202210333,2025,KARAMAN,2
202210333,2025,KASTAMONU,4
202210333,2025,KIRIKKALE,1
202210333,2025,KİLİS,2
202210333,2025,KOCAELİ,2
202210333,2025,KONYA,1
202210333,2025,MERSİN,2
202210333,2025,MUĞLA,1
202210333,2025,NEVŞEHİR,2
202210333,2025,NİĞDE,1
202210333,2025,ORDU,3
202210333,2025,SAKARYA,2
202210333,2025,SAMSUN,1
202210333,2025,SİNOP,4
202210333,2025,SİVAS,1
202210333,2025,TRABZON,3
202210333,2025,ZONGULDAK,4
202210258,2025,ADANA,2
202210258,2025,ADIYAMAN,2
202210258,2025,AFYONKARAHİSAR,2
202210258,2025,AĞRI,1
202210258,2025,AKSARAY,1
202210258,2025,ANKARA,9
202210258,2025,ANTALYA,3
202210258,2025,BAYBURT,1
202210258,2025,BİLECİK,1
202210258,2025,BİNGÖL,2
202210258,2025,BOLU,1
202210258,2025,BURSA,16
202210258,2025,ÇANAKKALE,4
202210258,2025,DİYARBAKIR,1
202210258,2025,DÜZCE,3
202210258,2025,EDİRNE,1
202210258,2025,ERZURUM,2
202210258,2025,ESKİŞEHİR,7
202210258,2025,GAZİANTEP,1
202210258,2025,GİRESUN,1
202210258,2025,GÜMÜŞHANE,2
202210258,2025,HAKKARİ,1
202210258,2025,HATAY,2
202210258,2025,İSTANBUL,437
202210258,2025,İZMİR,5
202210258,2025,KAHRAMANMARAŞ,6
