yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
201990528,"13,1",31,"21,5",6.0,"60,0"
201910863,"15,8",18,"18,9",2.0,"50,0"
201910439,"21,6",38,"14,7",3.0,"27,3"
201990762,"0,7",18,"46,2",10.0,"83,3"
201990790,"1,3",36,"41,9",13.0,"86,7"
201990804,"1,4",21,"27,6",11.0,"100,0"
201910696,"1,2",18,"24,3",9.0,"90,0"
201991588,"15,7",60,"23,9",5.0,"31,3"
201910872,"2,1",15,"30,6",9.0,"69,2"
201990748,"1,5",0,"0,0",,
201990497,"15,4",34,"18,4",4.0,"40,0"
201910024,"13,1",25,"15,9",2.0,"20,0"
201990727,"4,5",134,"51,7",56.0,"98,2"
201990720,"3,9",4,"12,9",3.0,"100,0"
201910015,"2,8",5,"45,5",1.0,"100,0"
201910509,"2,1",62,"48,4",41.0,"85,4"
