lise_adi,sehir,lise_id
MANİSA TOBB BÜLENT KOŞMAZ FEN LİSESİ (MANİSA - YUNUSEMRE),MANİSA,197
MEHMET AKİF ERSOY KIZ ANADOLU İMAM HATİP LİSESİ (KOCAELİ - İZMİT),KOCAELİ,198
MEHMET ÖZÖNCEL ANADOLU LİSESİ (ADANA - ÇUKUROVA),ADANA,199
MURATPAŞA TÜRK TELEKOM ANADOLU LİSESİ (ANTALYA - MURATPAŞA),ANTALYA,200
ADIYAMAN FEN LİSESİ (ADIYAMAN - MERKEZ),ADIYAMAN,201
NİĞDE FEN LİSESİ (NİĞDE - MERKEZ),NİĞDE,202
ÖZEL GAZİANTEP BAYSAL BOĞAZİÇİ ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),GAZİANTEP,203
ÖZEL MALATYA BOĞAZİÇİ ANADOLU LİSESİ (MALATYA - YEŞİLYURT),MALATYA,204
ÖZEL MAVİ ADAY ANADOLU LİSESİ (SAMSUN - BAFRA),SAMSUN,205
ADNAN MENDERES ANADOLU İMAM HATİP LİSESİ (AYDIN - EFELER),AYDIN,206
ÖZEL PEREN FEN LİSESİ (KONYA - MERAM),KONYA,207
ÖZEL SEDAT AKDOĞAN PANCARLI ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),GAZİANTEP,208
PROF.DR.İLHAN KILIÇÖZLÜ FEN LİSESİ (KIRŞEHİR - MERKEZ),KIRŞEHİR,209
SİLİFKE FEN LİSESİ (MERSİN - SİLİFKE),MERSİN,210
ŞEHİT HAMİDE SİBEL ÇETİNKAYA ANADOLU LİSESİ (NEVŞEHİR - GÜLŞEHİR),NEVŞEHİR,211
ŞEHİT ÖMER HALİSDEMİR ANADOLU İMAM HATİP LİSESİ (ANKARA - YENİMAHALLE),ANKARA,212
ŞEHİT ÖMER HALİSDEMİR ANADOLU İMAM HATİP LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,213
ŞEHİT ÜSTEĞMEN SELÇUK ESEDOĞLU ANADOLU LİSESİ (SAKARYA - SERDİVAN),SAKARYA,214
TURHAN TAYAN ANADOLU LİSESİ (BURSA - MUDANYA),BURSA,215
TÜRK ANADOLU VAKFI HAFIZ KIZ ANADOLU İMAM HATİP LİSESİ (KONYA - KARATAY),KONYA,216
ALTINDAĞ ANADOLU İMAM HATİP LİSESİ (ANKARA - ALTINDAĞ),ANKARA,217
TÜRK TELEKOM FEN LİSESİ (SİNOP - BOYABAT),SİNOP,218
ZİLE FEN LİSESİ (TOKAT - ZİLE),TOKAT,219
BEŞİKDÜZÜ ANADOLU LİSESİ (TRABZON - BEŞİKDÜZÜ),TRABZON,220
BORSA İSTANBUL ANADOLU LİSESİ (GAZİANTEP - ŞAHİNBEY),GAZİANTEP,221
HADIMKÖY ANADOLU LİSESİ (İSTANBUL - ARNAVUTKÖY),İSTANBUL,222
KAMAN 15 TEMMUZ ŞEHİTLERİ ANADOLU LİSESİ (KIRŞEHİR - KAMAN),KIRŞEHİR,223
MUSTAFA KOYUNCU FEN LİSESİ (KAYSERİ - YAHYALI),KAYSERİ,224
NALÂN KAYNAK ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),DENİZLİ,225
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,226
ÖZEL AKSARAY VİZYON AKADEMİ FEN LİSESİ (AKSARAY - MERKEZ),AKSARAY,227
ÖZEL ARYA ANADOLU LİSESİ (ANKARA - ÇANKAYA),ANKARA,228
ÖZEL FİNAL ÖZGÜN ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,229
ÖZEL GAZİANTEP DOĞA FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),GAZİANTEP,230
ÖZEL GÜLEÇ ABC FEN LİSESİ (KIRIKKALE - MERKEZ),KIRIKKALE,231
ÖZEL MERSİN YENİŞEHİR İZ EĞİTİM KURUMLARI FEN LİSESİ (MERSİN - YENİŞEHİR),MERSİN,232
ÖZEL SİVAS KAVRAM ANADOLU LİSESİ (SİVAS - MERKEZ),SİVAS,233
ÖZEL YENİŞEHİR GELECEK ANADOLU LİSESİ (MERSİN - YENİŞEHİR),MERSİN,234
ATATÜRK ANADOLU LİSESİ (ANTALYA - KEPEZ),ANTALYA,235
SİMAV FEN LİSESİ (KÜTAHYA - SİMAV),KÜTAHYA,236
SİVAS LİSESİ (SİVAS - MERKEZ),SİVAS,237
SÜMER ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,238
ŞENTEPE ŞEHİT VOLKAN CANÖZ ANADOLU LİSESİ (ANKARA - YENİMAHALLE),ANKARA,239
TURGUT REİS ÇOK PROGRAMLI ANADOLU LİSESİ (KAHRAMANMARAŞ - TÜRKOĞLU),KAHRAMANMARAŞ,240
AYŞE ANA MESLEKİ VE TEKNİK ANADOLU LİSESİ (UŞAK - MERKEZ),UŞAK,241
CELAL BAYAR ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,242
DEMİR KARAMANCI ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,243
GAZİ ANADOLU LİSESİ (ADANA - SEYHAN),ADANA,244
BOYABAT ŞEHİT ERSOY GÜRSU ANADOLU LİSESİ (SİNOP - BOYABAT),SİNOP,245
CUMHURİYET ANADOLU LİSESİ (SİVAS - MERKEZ),SİVAS,246
ERDEM BAYAZIT ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),KAHRAMANMARAŞ,247
FETULLAH BAYIR FEN LİSESİ (KONYA - BEYŞEHİR),KONYA,248
HASBEKLİ HAFIZ MÜMİN AKAN ANADOLU İMAM HATİP LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,249
IRAZ-DÜRİYE DURAN ANADOLU LİSESİ (ANTALYA - MANAVGAT),ANTALYA,250
15 TEMMUZ ŞEHİTLER KIZ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,251
İPEKYOLU BORSA İSTANBUL FEN LİSESİ (VAN - İPEKYOLU),VAN,252
İSTEK ÖZEL ULUĞBEY ANADOLU LİSESİ (İSTANBUL - KARTAL),İSTANBUL,253
İZMİR KIZ ANADOLU İMAM HATİP LİSESİ (İZMİR - KARABAĞLAR),İZMİR,254
KEPİRTEPE ANADOLU LİSESİ (KIRKLARELİ - LÜLEBURGAZ),KIRKLARELİ,255
