yop_kodu,year,lise_adi,sehir,ilce,yerlesen_sayisi,is_ozel,is_fen,is_anadolu,is_acik_ogretim
208610015,2024,KARLISU SOSYAL BİLİMLER LİSESİ (HATAY - ANTAKYA),HATAY,ANTAKYA,1,False,False,False,False
208610015,2024,KAYSERİ FEN LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,MELİKGAZİ,1,False,True,False,False
208610015,2024,MAHMUT SAMİ RAMAZANOĞLU ANADOLU İMAM HATİP LİSESİ (KONYA - SELÇUKLU),KONYA,SELÇUKLU,2,False,False,True,False
208610015,2024,MEHMET NİYAZİ ALTUĞ ANADOLU LİSESİ (İSTANBUL - BAĞCILAR),İSTANBUL,BAĞCILAR,1,False,False,True,False
208610024,2022,AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),,MERKEZE BAĞLI TAŞRA,1,False,False,False,True
208610024,2022,EDİRNE AKMERCAN ANADOLU İMAM HATİP LİSESİ (EDİRNE - MERKEZ),EDİRNE,MERKEZ,1,False,False,True,False
208610024,2022,EMİNE-AHMET YENİ KIZ ANADOLU İMAM HATİP LİSESİ (SAMSUN - İLKADIM),SAMSUN,İLKADIM,1,False,False,True,False
208610024,2022,ERZURUM TÜRK TELEKOM NURETTİN TOPÇU SOSYAL BİLİMLER LİSESİ (ERZURUM - PALANDÖKEN),ERZURUM,PALANDÖKEN,1,False,False,False,False
208610024,2022,HÜMEYRA ÖKTEN KIZ ANADOLU İMAM HATİP LİSESİ (ADANA - ÇUKUROVA),ADANA,ÇUKUROVA,1,False,False,True,False
208610024,2022,MALTEPE KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - MALTEPE),İSTANBUL,MALTEPE,1,False,False,True,False
208610024,2022,MESLEKİ AÇIKÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),,MERKEZE BAĞLI TAŞRA,1,False,False,False,False
208610024,2022,SAMSUN İBRAHİM TANRIVERDİ SOSYAL BİLİMLER LİSESİ (SAMSUN - İLKADIM),SAMSUN,İLKADIM,1,False,False,False,False
208610024,2022,ŞEHİT HALİL İBRAHİM YILDIRIM ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAYRAMPAŞA),İSTANBUL,BAYRAMPAŞA,1,False,False,True,False
208610024,2022,TEVFİK İLERİ ANADOLU İMAM HATİP LİSESİ (ANKARA - YENİMAHALLE),ANKARA,YENİMAHALLE,1,False,False,True,False
208610024,2022,TP FATIMA ZEHRA KIZ ANADOLU İMAM HATİP LİSESİ (BATMAN - MERKEZ),BATMAN,MERKEZ,1,False,False,True,False
208610024,2022,TUNA ANADOLU LİSESİ (İSTANBUL - BAYRAMPAŞA),İSTANBUL,BAYRAMPAŞA,1,False,False,True,False
208610024,2022,ULUSLARARASI ŞEHİT MEHMET KARAASLAN KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAHÇELİEVLER),İSTANBUL,BAHÇELİEVLER,1,False,False,True,False
208610024,2023,AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),,MERKEZE BAĞLI TAŞRA,1,False,False,False,True
208610024,2023,BAYRAMPAŞA ALİYA İZZETBEGOVİÇ KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAYRAMPAŞA),İSTANBUL,BAYRAMPAŞA,1,False,False,True,False
208610024,2023,DOĞANHİSAR ANADOLU İMAM HATİP LİSESİ (KONYA - DOĞANHİSAR),KONYA,DOĞANHİSAR,1,False,False,True,False
208610024,2023,GAZİOSMANPAŞA FAHRETTİN ÖZÜDOĞRU MESLEKİ VE TEKNİK ANADOLU LİSESİ (İSTANBUL - GAZİOSMANPAŞA),İSTANBUL,GAZİOSMANPAŞA,1,False,False,True,False
208610024,2023,GÜNGÖREN İSTANBUL TİCARET ODASI KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - GÜNGÖREN),İSTANBUL,GÜNGÖREN,1,False,False,True,False
208610024,2023,KARAMÜRSEL AKÇAKOCA ANADOLU İMAM HATİP LİSESİ (KOCAELİ - KARAMÜRSEL),KOCAELİ,KARAMÜRSEL,1,False,False,True,False
208610024,2023,KARTAL MEHMET AKİF ERSOY ANADOLU İMAM HATİP LİSESİ (İSTANBUL - KARTAL),İSTANBUL,KARTAL,1,False,False,True,False
208610024,2023,KAZIM KARABEKİR ANADOLU İMAM HATİP LİSESİ (İSTANBUL - GAZİOSMANPAŞA),İSTANBUL,GAZİOSMANPAŞA,1,False,False,True,False
208610024,2023,M.EMİN SARAÇ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAŞAKŞEHİR),İSTANBUL,BAŞAKŞEHİR,2,False,False,True,False
208610024,2023,NECMETTİN ERBAKAN ANADOLU İMAM HATİP LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),KAHRAMANMARAŞ,ONİKİŞUBAT,1,False,False,True,False
208610024,2023,ÖDEMİŞ AYDINOĞLU MEHMET BEY ANADOLU İMAM HATİP LİSESİ (İZMİR - ÖDEMİŞ),İZMİR,ÖDEMİŞ,1,False,False,True,False
208610024,2023,ŞULE YÜKSEL ŞENLER KIZ ANADOLU İMAM HATİP LİSESİ (BALIKESİR - KARESİ),BALIKESİR,KARESİ,1,False,False,True,False
208610024,2024,ŞEHİT HAKİ ARAS KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAŞAKŞEHİR),İSTANBUL,BAŞAKŞEHİR,1,False,False,True,False
208610024,2024,ŞULE YÜKSEL ŞENLER KIZ ANADOLU İMAM HATİP LİSESİ (BALIKESİR - KARESİ),BALIKESİR,KARESİ,1,False,False,True,False
208610024,2024,ŞÜKRÜ DORUK KIZ ANADOLU İMAM HATİP LİSESİ (KONYA - MERAM),KONYA,MERAM,1,False,False,True,False
208610024,2024,15 TEMMUZ ŞEHİT MUHAMMED YALÇIN KIZ ANADOLU İMAM HATİP LİSESİ (KARAMAN - MERKEZ),KARAMAN,MERKEZ,1,False,False,True,False
208610024,2024,FATİH SULTAN MEHMET ULUSLARARASI ANADOLU İMAM HATİP LİSESİ (İSTANBUL - FATİH),İSTANBUL,FATİH,1,False,False,True,False
208610024,2024,GÜZELYURT KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - ESENYURT),İSTANBUL,ESENYURT,1,False,False,True,False
208610024,2024,HAKKI DEMİR ANADOLU İMAM HATİP LİSESİ (İSTANBUL - ÜSKÜDAR),İSTANBUL,ÜSKÜDAR,1,False,False,True,False
208610024,2024,KANUNİ KIZ ANADOLU İMAM HATİP LİSESİ (BURSA - YILDIRIM),BURSA,YILDIRIM,1,False,False,True,False
208610024,2024,KAPTAN AHMET ERDOĞAN ANADOLU İMAM HATİP LİSESİ (RİZE - GÜNEYSU),RİZE,GÜNEYSU,1,False,False,True,False
208610024,2024,MAHMUT SAMİ RAMAZANOĞLU ANADOLU İMAM HATİP LİSESİ (KONYA - SELÇUKLU),KONYA,SELÇUKLU,1,False,False,True,False
208610024,2024,NİYAZİ MISRİ SOSYAL BİLİMLER LİSESİ (MALATYA - BATTALGAZİ),MALATYA,BATTALGAZİ,1,False,False,False,False
208610033,2022,AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),,MERKEZE BAĞLI TAŞRA,4,False,False,False,True
208610033,2022,BOZKIRLILAR VAKFI KIZ ANADOLU İMAM HATİP LİSESİ (KONYA - KARATAY),KONYA,KARATAY,1,False,False,True,False
208610033,2022,CEDİDE ABALIOĞLU ANADOLU İMAM HATİP LİSESİ (DENİZLİ - MERKEZEFENDİ),DENİZLİ,MERKEZEFENDİ,3,False,False,True,False
