yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
100410818,"17,0",104.0,"14,5",11.0,"26,2"
100410827,"29,7",266.0,"21,3",25.0,"59,5"
100410836,"51,5",488.0,"11,5",3.0,"3,7"
100410872,,,,,
100410924,"13,9",79.0,"15,4",15.0,"40,5"
100410933,"14,2",88.0,"11,5",6.0,"11,5"
100410978,"20,5",175.0,"15,8",14.0,"25,9"
100410987,"20,6",184.0,"21,2",6.0,"14,3"
100490191,"16,5",123.0,"23,3",11.0,"34,4"
100490197,"24,0",292.0,"22,5",12.0,"22,2"
100490202,"5,9",43.0,"13,4",7.0,"13,2"
100490203,"14,2",80.0,"17,7",12.0,"37,5"
100490204,"14,2",173.0,"15,4",18.0,"23,4"
100490212,"6,0",2.0,"33,3",0.0,"0,0"
100490213,"9,0",4.0,"44,4",1.0,"100,0"
100490215,"28,8",220.0,"18,2",11.0,"26,8"
100490216,"13,4",103.0,"14,2",8.0,"15,4"
100490218,"26,8",124.0,"14,5",7.0,"22,6"
100490219,"32,9",251.0,"18,6",7.0,"17,1"
100490220,"12,3",56.0,"16,9",11.0,"40,7"
100490222,"20,4",166.0,"9,9",10.0,"12,2"
100490242,"18,1",177.0,"15,3",8.0,"12,9"
100490249,"15,6",71.0,"11,1",9.0,"22,0"
100490256,"51,7",224.0,"16,7",9.0,"34,6"
100490277,"31,9",135.0,"13,2",5.0,"16,1"
100490284,"12,2",266.0,"22,7",71.0,"74,0"
100490291,"31,7",77.0,"22,1",8.0,"80,0"
100490298,"3,3",4.0,"11,1",3.0,"50,0"
100490305,"21,9",91.0,"10,1",8.0,"19,5"
100510023,"28,0",231.0,"20,1",15.0,"36,6"
100510032,"4,8",50.0,"25,3",31.0,"75,6"
100510041,"6,0",58.0,"18,5",28.0,"53,8"
100510077,"2,9",4.0,"8,7",3.0,"42,9"
100510086,"21,0",203.0,"21,9",20.0,"45,5"
100510095,"6,7",63.0,"15,1",23.0,"37,1"
100510129,"7,1",48.0,"21,1",19.0,"61,3"
100510138,"9,8",62.0,"19,9",17.0,"54,8"
100510174,"10,0",51.0,"15,9",8.0,"25,0"
100510183,"17,9",113.0,"19,7",17.0,"53,1"
100510208,"6,9",33.0,"17,6",5.0,"19,2"
100510217,"4,7",176.0,"26,0",91.0,"63,6"
100510235,"40,3",282.0,"17,1",2.0,"4,9"
100510253,"14,5",147.0,"24,1",30.0,"71,4"
100510262,"7,9",69.0,"17,8",30.0,"62,5"
100590058,"8,1",35.0,"15,9",4.0,"14,8"
100590061,"92,6",718.0,"12,5",0.0,"0,0"
100590064,"14,2",104.0,"23,0",25.0,"78,1"
100590075,"19,0",132.0,"12,9",8.0,"15,4"
100590077,"12,2",65.0,"16,7",16.0,"50,0"
100590078,"13,1",104.0,"18,9",13.0,"31,0"
100590083,"8,5",71.0,"22,7",19.0,"51,4"
100590084,"21,3",278.0,"31,1",13.0,"31,0"
100590085,"15,1",60.0,"24,9",11.0,"73,3"
100590106,"0,1",0.0,"0,0",,
100590120,"5,6",56.0,"20,5",15.0,"30,6"
100590127,"19,6",139.0,"24,5",10.0,"34,5"
100590141,"78,4",972.0,"19,4",3.0,"4,7"
100590148,"69,5",795.0,"21,2",25.0,"46,3"
100590162,"13,0",147.0,"17,6",13.0,"21,0"
100610013,"0,6",0.0,"0,0",,
100610022,"11,7",47.0,"7,7",14.0,"26,9"
100610031,"24,5",137.0,"11,9",18.0,"38,3"
100610049,"11,9",73.0,"14,9",32.0,"78,0"
100610058,"10,4",57.0,"10,5",23.0,"44,2"
100610085,"17,6",78.0,"10,5",21.0,"50,0"
100610094,"11,7",49.0,"13,1",16.0,"51,6"
100610101,"8,7",40.0,"14,4",17.0,"53,1"
100610119,"41,7",513.0,"14,7",31.0,"36,9"
100610137,"21,5",110.0,"11,6",12.0,"27,3"
100610146,"5,5",7.0,"4,9",6.0,"37,5"
100610155,"10,0",60.0,"18,7",18.0,"56,3"
100610191,"11,0",70.0,"15,1",14.0,"34,1"
100610207,"11,1",58.0,"14,1",10.0,"27,0"
100610216,"14,7",96.0,"13,3",12.0,"25,0"
